"Report Written:","Tuesday, July 30, 2019"
"Project Path:","C:\Users\acorbo\Documents\github\Buoy_Controller_v1.1\board\Buoy_Controller_v1.1.prj"
"Design Path:","C:\Users\acorbo\Documents\github\Buoy_Controller_v1.1\board\Board.pcb"
"Design Title:",
"Created:","13/02/2019 15:02:17"
"Last Saved:","30/07/2019 08:41:05"
"Editing Time:","11379 min"
"Units:","mil (precision 0)"

Bill of Materials generated with DesignSpark PCB - www.DesignSpark.com/pcb
--------------------------------------------------------------------------


"Ref Name","Qty","Component","Value","Package","Manufacturer","MPN","RS Part Number","Other Part Number","Description"
"D2","1","1N4148","","DIOAD1068W53L380D172","Fairchild Semiconductor","1N4148","8428276","","1N4148, Signal Diode, 400mA 100V, 2-Pin DO-35"
"D1","1","1N4148","","DIOAD1068W53L380D172","Fairchild Semiconductor","1N4148","8428276","","1N4148, Signal Diode, 400mA 100V, 2-Pin DO-35"
"D3","1","1N4148","","DIOAD1068W53L380D172","Fairchild Semiconductor","1N4148","8428276","","1N4148, Signal Diode, 400mA 100V, 2-Pin DO-35"
"D4","1","1N4148","","DIOAD1068W53L380D172","Fairchild Semiconductor","1N4148","8428276","","1N4148, Signal Diode, 400mA 100V, 2-Pin DO-35"
"BKP_BATTERY","1","101","","101","Keystone Electronics Corp.","101","","","THM (Maxi-Mount) Holder for 20mm Cell P/N 101"
"C1","1","08055C104KAT2A","","CAPC2012X94N","AVX","08055C104KAT2A","5451740","","0805 X7R ceramic capacitor,100nF 50V AVX 0805 Standard 100nF Ceramic Multilayer Capacitor, 50 V dc, +125degC, X7R Dielectric,  /-10% SMD"
"C2","1","12065C104JAT1A","","CAPC3216X94N","AVX","12065C104JAT1A","4646852P","","1206 X7R ceramic capacitor,100nF 50V AVX 1206 FlEXITERM 100nF Ceramic Multilayer Capacitor, 50 V dc, +125degC, X7R Dielectric,  /-5% SMD"
"METEO","1","280384-2","","SHDR8W63P254X254_2X4_1270X700X","TE Connectivity","280384-2","2329864","","8 way 2 row,(2x4),shrouded header"
"CTD","1","280384-2","","SHDR8W63P254X254_2X4_1270X700X","TE Connectivity","280384-2","2329864","","8 way 2 row,(2x4),shrouded header"
"ADCP","1","280384-2","","SHDR8W63P254X254_2X4_1270X700X","TE Connectivity","280384-2","2329864","","8 way 2 row,(2x4),shrouded header"
"AUX","1","280384-2","","SHDR8W63P254X254_2X4_1270X700X","TE Connectivity","280384-2","2329864","","8 way 2 row,(2x4),shrouded header"
"I2C_1","1","280384-2","","SHDR8W63P254X254_2X4_1270X700X","TE Connectivity","280384-2","2329864","","8 way 2 row,(2x4),shrouded header"
